year,germany,poland,ukraine,russia,switzerland,united_states
1950,7.31,4.52,3.44,4.11,2.19,16.0
1951,8.21,4.83,3.68,4.39,2.61,16.2
1952,8.66,4.97,3.88,4.63,2.35,15.6
1953,8.8,5.31,4.05,4.82,2.13,15.7
1954,9.27,5.52,4.36,5.17,2.57,14.7
1955,10.1,5.66,4.87,5.77,2.74,15.9
1956,10.7,6.0,5.27,6.23,3.4,16.3
1957,10.8,6.33,5.7,6.71,3.49,15.9
1958,10.4,6.16,6.0,7.06,3.17,15.2
1959,10.4,6.5,6.23,7.32,3.19,15.4
1960,11.1,6.75,6.41,7.52,3.69,15.5
1961,11.3,6.91,6.53,7.65,3.78,15.2
1962,11.9,7.14,6.76,7.94,4.39,15.5
1963,12.6,7.52,7.17,8.42,5.18,16.0
1964,12.8,7.83,7.53,8.87,4.92,16.5
1965,12.6,7.88,7.91,9.33,5.21,17.0
1966,12.4,7.99,8.28,9.78,5.33,17.6
1967,12.1,8.13,8.58,10.2,5.43,18.1
1968,12.7,8.59,8.76,10.4,5.95,18.6
1969,13.5,9.07,9.06,10.8,6.23,19.4
1970,13.1,9.33,9.46,11.3,6.53,20.7
1971,13.2,9.53,9.96,11.9,6.74,20.6
1972,13.2,9.96,10.4,12.5,6.85,21.4
1973,13.8,10.1,10.8,12.9,7.33,22.2
1974,13.5,10.3,11.1,13.3,6.54,21.2
1975,12.7,11.1,11.6,13.9,6.15,20.1
1976,13.9,11.6,12.0,14.4,6.37,20.9
1977,13.4,12.1,12.3,14.8,6.48,21.2
1978,13.8,12.4,12.7,15.2,6.68,21.7
1979,14.3,12.6,12.7,15.2,6.33,21.5
1980,14.1,13.1,13.2,15.7,6.43,20.6
1981,13.5,11.4,12.9,15.3,6.15,19.6
1982,13.1,11.7,13.1,15.5,5.78,18.4
1983,13.0,11.6,13.2,15.6,6.28,18.4
1984,13.3,11.8,13.3,15.6,6.11,18.8
1985,13.5,12.0,14.3,16.8,6.17,18.7
1986,13.5,12.1,14.3,16.7,6.51,18.5
1987,13.3,12.4,14.8,17.3,6.16,19.1
1988,13.2,11.8,15.2,17.6,6.19,19.7
1989,12.9,11.2,14.9,17.1,5.96,19.8
1990,12.8,9.71,13.9,16.0,6.38,19.1
1991,11.7,9.5,13.4,15.4,6.34,18.9
1992,11.1,9.29,12.3,14.0,6.28,19.1
1993,10.9,9.22,10.5,13.1,5.91,19.3
1994,10.7,8.7,8.64,11.4,5.94,19.4
1995,10.6,8.95,8.76,11.0,5.59,19.3
1996,10.9,9.24,8.15,10.9,5.65,19.5
1997,10.6,9.07,6.8,10.3,5.85,19.7
1998,10.5,8.44,6.61,10.1,5.86,19.6
1999,10.1,8.19,6.75,10.4,5.7,19.7
2000,10.2,7.76,6.57,10.6,5.45,20.2
2001,10.5,7.82,6.65,10.7,5.96,19.6
2002,10.2,7.66,6.64,10.7,5.62,19.6
2003,10.1,7.86,7.41,11.1,5.51,19.6
2004,10.0,7.93,7.27,11.1,5.49,19.7
2005,9.76,7.89,7.12,11.2,5.58,19.6
2006,10.0,8.32,7.0,11.6,5.59,19.1
2007,9.6,8.2,6.93,11.6,5.02,19.3
2008,9.62,8.22,6.73,12.0,5.28,18.5
2009,8.92,7.77,5.66,11.0,5.38,17.2
2010,9.38,8.25,6.65,11.7,4.98,17.5
2011,9.05,8.27,6.28,12.3,4.66,17.0
2012,9.13,7.83,6.52,12.8,4.7,16.3
2013,9.32,7.89,6.03,12.4,4.95,16.4
2014,8.83,7.46,5.06,11.9,4.29,16.5
