year,germany,poland,ukraine,russia,switzerland,united_states
1900,372.0,317.0,360.0,409.0,197.0,232.0
1901,337.0,314.0,360.0,442.0,184.0,228.0
1902,298.0,310.0,360.0,419.0,168.0,217.0
1903,332.0,307.0,359.0,406.0,169.0,215.0
1904,319.0,303.0,359.0,377.0,182.0,224.0
1905,333.0,299.0,358.0,442.0,169.0,218.0
1906,301.0,296.0,357.0,403.0,164.0,219.0
1907,286.0,292.0,357.0,366.0,155.0,218.0
1908,289.0,289.0,356.0,396.0,141.0,202.0
1909,276.0,284.0,355.0,403.0,151.0,194.0
1910,264.0,280.0,355.0,440.0,141.0,202.0
1911,312.0,276.0,354.0,385.0,154.0,188.0
1912,237.0,279.0,353.0,377.0,123.0,182.0
1913,244.0,282.0,352.0,370.0,125.0,186.0
1914,267.0,284.0,351.0,363.0,118.0,177.0
1915,239.0,287.0,350.0,355.0,112.0,172.0
1916,224.0,290.0,350.0,348.0,103.0,179.0
1917,241.0,293.0,349.0,342.0,104.0,180.0
1918,257.0,296.0,348.0,335.0,127.0,239.0
1919,233.0,298.0,347.0,328.0,111.0,169.0
1920,207.0,301.0,346.0,322.0,121.0,168.0
1921,213.0,304.0,327.0,315.0,95.3,146.0
1922,205.0,272.0,307.0,309.0,87.7,146.0
1923,207.0,266.0,288.0,303.0,77.8,150.0
1924,164.0,260.0,271.0,297.0,78.8,140.0
1925,159.0,255.0,254.0,291.0,77.1,130.0
1926,153.0,250.0,236.0,285.0,73.9,121.0
1927,144.0,244.0,234.0,279.0,74.2,113.0
1928,129.0,233.0,232.0,274.0,73.9,105.0
1929,144.0,241.0,228.0,269.0,69.7,97.5
1930,122.0,230.0,226.0,263.0,67.4,90.8
1931,119.0,228.0,224.0,258.0,65.2,84.4
1932,112.0,231.0,221.0,253.0,66.8,78.6
1933,108.0,202.0,218.0,248.0,61.1,73.1
1934,90.2,226.0,216.0,243.0,59.7,79.7
1935,147.0,200.0,213.0,238.0,62.8,75.3
1936,90.0,226.0,211.0,233.0,59.7,75.9
1937,86.8,217.0,208.0,229.0,60.6,73.6
1938,80.8,224.0,205.0,224.0,56.0,69.5
1939,99.6,218.0,203.0,220.0,54.5,62.9
1940,86.6,212.0,204.0,215.0,61.6,61.9
1941,83.5,206.0,473.0,211.0,54.3,60.3
1942,80.5,200.0,554.0,207.0,50.8,54.7
1943,77.7,195.0,577.0,203.0,51.3,53.7
1944,74.9,190.0,417.0,199.0,53.5,50.3
1945,72.2,184.0,339.0,195.0,51.3,48.2
1946,69.7,179.0,158.0,191.0,49.5,46.6
1947,67.2,174.0,241.0,187.0,47.8,42.8
1948,64.8,170.0,139.0,184.0,43.9,39.7
1949,62.5,162.0,119.0,180.0,42.1,39.6
1950,60.2,164.0,95.2,176.0,38.5,37.6
1951,59.1,177.0,92.5,167.0,37.2,36.6
1952,56.9,140.0,86.9,149.0,35.8,35.6
1953,54.7,128.0,81.9,133.0,34.5,34.7
1954,52.6,119.0,77.5,118.0,33.1,33.8
1955,50.5,110.0,73.2,105.0,31.7,33.0
1956,48.4,94.2,68.9,93.1,30.2,32.3
1957,46.4,86.7,65.1,82.6,28.9,31.7
1958,44.4,81.3,61.9,73.4,27.9,31.1
1959,42.4,72.1,62.2,65.5,27.1,30.6
1960,40.5,65.0,53.6,59.9,26.5,30.1
1961,38.5,59.8,52.1,54.7,26.0,29.5
1962,36.6,55.6,50.0,50.0,25.4,28.9
1963,34.6,52.2,48.0,45.7,24.6,28.3
1964,32.8,49.0,46.1,41.6,23.6,27.7
1965,31.0,45.8,44.2,39.1,22.6,27.1
1966,29.5,42.8,42.5,39.0,21.6,26.4
1967,28.2,40.5,40.0,39.2,20.7,25.7
1968,27.2,38.9,37.9,39.4,19.9,24.9
1969,26.4,37.5,36.2,38.7,19.2,24.1
1970,25.7,36.1,34.9,38.2,18.4,23.3
1971,24.9,34.3,34.2,36.5,17.6,22.4
1972,24.0,32.5,33.0,35.0,16.7,21.5
1973,23.1,30.6,32.0,33.5,15.8,20.6
1974,22.0,28.9,31.0,32.3,14.8,19.7
1975,20.8,27.8,30.2,31.1,13.8,18.8
1976,19.5,27.0,29.5,30.2,12.9,17.9
1977,18.3,26.3,28.9,29.4,12.1,17.1
1978,17.1,25.5,28.3,28.8,11.4,16.3
1979,16.0,24.6,27.7,28.1,10.8,15.6
1980,15.0,23.9,27.0,27.6,10.4,15.0
1981,14.1,23.3,26.2,27.1,9.98,14.4
1982,13.2,22.7,25.3,26.6,9.66,13.9
1983,12.5,21.9,24.4,26.1,9.39,13.4
1984,11.8,21.1,23.4,25.6,9.18,13.0
1985,11.2,20.4,22.4,24.9,9.01,12.7
1986,10.6,19.6,21.5,24.2,8.88,12.4
1987,10.1,18.9,20.7,23.4,8.76,12.2
1988,9.53,18.4,20.1,22.6,8.63,11.9
1989,9.02,17.9,19.7,22.0,8.45,11.6
1990,8.53,17.4,19.4,21.6,8.19,11.2
1991,8.04,16.9,19.4,21.5,7.86,10.9
1992,7.59,16.4,19.5,21.6,7.47,10.5
1993,7.17,16.0,19.8,21.8,7.07,10.1
1994,6.79,15.4,20.1,21.9,6.7,9.78
1995,6.46,14.4,20.3,21.8,6.39,9.46
1996,6.17,13.2,20.4,21.6,6.14,9.18
1997,5.92,12.0,20.2,21.2,5.95,8.94
1998,5.7,10.9,19.8,20.7,5.82,8.75
1999,5.52,9.99,19.2,20.1,5.73,8.59
2000,5.36,9.31,18.4,19.3,5.64,8.45
2001,5.22,8.81,17.6,18.3,5.55,8.33
2002,5.09,8.43,16.7,17.2,5.44,8.23
2003,4.97,8.1,15.9,16.0,5.33,8.14
2004,4.85,7.82,15.1,14.8,5.2,8.05
2005,4.73,7.56,14.5,13.7,5.07,7.96
2006,4.61,7.31,13.9,12.8,4.94,7.86
2007,4.49,7.01,13.4,11.9,4.82,7.75
2008,4.38,6.67,12.9,11.2,4.72,7.61
2009,4.27,6.32,12.3,10.7,4.63,7.47
2010,4.18,5.98,11.7,10.3,4.55,7.33
2011,4.09,5.68,11.2,10.1,4.49,7.2
2012,4.02,5.42,10.6,9.8,4.44,7.08
2013,3.96,5.21,10.2,9.47,4.4,6.97
2014,3.9,5.03,9.82,9.05,4.36,6.88
2015,3.86,4.86,9.5,8.53,4.32,6.8
2016,3.8,4.71,9.22,8.02,4.27,6.73
2017,3.74,4.57,8.97,7.56,4.2,6.64
2018,3.66,4.45,8.73,7.18,4.12,6.53
2019,3.46,4.27,8.46,6.81,4.01,6.58
2020,3.24,4.13,8.18,6.52,3.91,6.62
