year,germany,poland,ukraine,russia,switzerland,united_states
1900,4.93,5.49,6.69,7.36,3.83,3.85
1901,4.88,5.36,6.63,7.2,3.89,3.85
1902,4.82,5.36,6.56,7.36,3.82,3.84
1903,4.77,5.09,6.5,7.2,3.67,3.83
1904,4.68,5.09,6.43,7.24,3.66,3.79
1905,4.6,4.96,6.36,6.72,3.6,3.75
1906,4.51,5.09,6.3,7.04,3.6,3.71
1907,4.43,5.09,6.23,7.08,3.51,3.67
1908,4.34,4.96,6.17,7.44,3.54,3.63
1909,4.18,4.96,6.1,7.12,3.42,3.58
1910,4.01,4.82,6.03,7.2,3.1,3.59
1911,3.85,4.69,5.97,7.2,3.07,3.57
1912,3.68,4.56,5.9,7.04,3.04,3.56
1913,3.52,4.69,5.83,6.96,3.01,3.45
1914,3.27,4.82,5.77,6.88,3.0,3.57
1915,3.02,3.89,5.7,3.36,2.61,3.52
1916,2.76,3.62,5.64,5.2,2.53,3.47
1917,2.51,3.22,5.57,5.04,2.48,3.33
1918,2.26,3.22,5.5,5.72,2.47,3.31
1919,2.33,4.42,5.44,3.44,2.49,3.07
1920,2.4,4.69,5.37,6.72,2.34,3.26
1921,2.48,4.4,5.31,4.72,2.37,3.33
1922,2.55,4.73,5.24,6.0,2.4,3.11
1923,2.62,4.82,5.17,6.48,2.43,3.1
1924,2.42,4.69,5.11,6.72,2.36,3.12
1925,2.21,4.74,5.04,6.8,2.3,3.01
1926,2.1,4.44,4.98,6.72,2.23,2.9
1927,1.98,4.23,4.84,6.64,2.17,2.82
1928,1.99,4.29,4.71,6.52,2.1,2.66
1929,1.93,4.26,4.58,6.16,2.05,2.53
1930,1.88,4.33,4.45,5.76,1.99,2.53
1931,1.71,4.05,4.31,5.6,1.97,2.4
1932,1.62,3.87,4.18,5.04,1.94,2.32
1933,1.58,3.55,4.05,4.0,1.89,2.01
1934,1.93,3.56,3.92,3.56,1.88,2.07
1935,2.03,3.49,3.78,4.24,1.84,2.04
1936,2.07,3.51,3.65,4.56,1.8,2.01
1937,2.09,3.33,3.52,5.04,1.74,2.04
1938,2.25,3.25,3.39,4.96,1.78,2.09
1939,2.39,3.22,3.25,4.88,1.79,2.05
1940,2.4,3.19,3.12,4.2,1.82,2.11
1941,2.25,3.16,3.08,4.6,2.05,2.23
1942,1.83,3.14,3.04,2.96,2.27,2.47
1943,2.0,3.11,3.0,1.68,2.4,2.57
1944,1.89,3.08,2.96,1.72,2.5,2.44
1945,1.53,3.05,2.92,1.92,2.6,2.38
1946,2.01,3.02,2.88,2.8,2.62,2.83
1947,2.04,3.47,2.84,2.96,2.56,3.16
1948,2.1,3.87,2.8,2.56,2.54,3.01
1949,2.16,3.88,2.76,3.12,2.44,3.02
1950,2.08,3.6,2.72,2.88,2.33,3.02
1951,2.09,3.62,2.75,2.88,2.32,3.2
1952,2.11,3.64,2.81,2.88,2.3,3.3
1953,2.14,3.65,2.85,2.72,2.3,3.37
1954,2.17,3.64,2.85,2.96,2.31,3.49
1955,2.2,3.6,2.83,2.8,2.33,3.54
1956,2.23,3.55,2.79,2.72,2.36,3.65
1957,2.27,3.47,2.72,2.76,2.39,3.74
1958,2.31,3.37,2.63,2.69,2.43,3.69
1959,2.35,3.25,2.53,2.58,2.48,3.69
1960,2.4,3.11,2.42,2.56,2.52,3.67
1961,2.43,2.96,2.31,2.46,2.55,3.63
1962,2.47,2.82,2.21,2.34,2.58,3.48
1963,2.49,2.69,2.13,2.28,2.58,3.35
1964,2.5,2.57,2.07,2.16,2.56,3.22
1965,2.48,2.48,2.03,2.09,2.53,2.93
1966,2.44,2.41,2.02,2.1,2.47,2.71
1967,2.37,2.35,2.01,2.01,2.4,2.56
1968,2.28,2.31,2.02,1.97,2.31,2.47
1969,2.17,2.28,2.03,1.98,2.22,2.46
1970,2.04,2.25,2.05,2.0,2.12,2.46
1971,1.92,2.24,2.06,2.02,2.02,2.27
1972,1.8,2.23,2.06,2.03,1.92,2.01
