year,germany,poland,ukraine,russia,switzerland,united_states
1900,6030,3300,1650,3090,13800,6250
1901,5800,3290,1690,3160,13100,6820
1902,5840,3290,1840,3440,13500,6760
1903,6080,3290,1710,3200,13200,6960
1904,6230,3290,1890,3540,14200,6740
1905,6270,3290,1670,3140,14700,7090
1906,6370,3290,1600,3000,15400,7760
1907,6560,3290,1540,2880,15300,7740
1908,6570,3290,1680,3150,15300,6970
1909,6620,3290,1740,3270,15600,7670
1910,6760,3290,1860,3490,16100,7590
1911,6880,3320,1720,3220,16200,7710
1912,7120,3350,1860,3480,16800,7950
1913,7370,3380,1950,3660,16500,8100
1914,6180,3420,1860,3490,15500,7330
1915,5860,3470,1920,3600,15500,7430
1916,5930,3510,1710,3200,16500,8340
1917,5960,3550,1500,2810,15900,8020
1918,6030,3600,917,1720,14500,8650
1919,5220,3640,791,1480,14400,8680
1920,5650,3690,794,1490,15300,8480
1921,6220,3730,727,1360,12900,8130
1922,6730,3780,845,1590,15100,8470
1923,5550,3830,973,1830,15700,9420
1924,6460,3870,1230,2320,16900,9520
1925,7130,3920,1540,2910,17200,9600
1926,7280,3970,1730,3270,17500,10100
1927,7960,4020,1800,3420,18600,10000
1928,8260,4070,1900,3600,19500,10000
1929,8180,4120,1920,3640,20100,10500
1930,8030,3880,2010,3820,19800,9490
1931,7380,3550,2030,3830,19700,8860
1932,6790,3220,2000,3760,18300,7520
1933,7180,3090,2070,3880,18800,7270
1934,7790,3100,2260,4220,18900,7880
1935,8320,3110,2590,4810,18000,8850
1936,8990,3160,2770,5110,17700,9720
1937,9460,3730,3000,5510,19500,10400
1938,10100,4240,2990,5470,18600,9800
1939,10900,4380,3110,5660,18900,10500
1940,10900,3720,2990,5400,19000,11300
1941,11500,3400,2930,5280,18800,12800
1942,11600,3000,2880,5150,17900,14200
1943,11900,2830,2820,5030,17800,15400
1944,12300,1820,2800,4910,18000,16400
1945,9120,1890,2780,4800,17400,16000
1946,4480,3230,2750,4690,21000,14500
1947,4920,3740,3090,5180,21400,14100
1948,5720,4170,3530,5820,21300,14600
1949,6630,4490,3890,6330,20400,14100
1950,7840,4760,4250,6820,21100,15200
1951,8500,4880,4240,6700,22600,16100
1952,9200,4900,4480,6980,22500,16400
1953,9910,5080,4640,7120,23000,16900
1954,10600,5280,4830,7300,24000,16500
1955,11700,5430,5200,7750,25400,17400
1956,12500,5570,5650,8290,26700,17400
1957,13100,5760,5720,8270,27300,17400
1958,13600,5950,6100,8690,26400,16900
1959,14500,6020,5980,8390,27700,17900
1960,15600,6250,6490,8970,29100,18100
1961,16000,6670,6750,9490,30500,18200
1962,16600,6510,6820,10100,31100,19000
1963,16900,6840,6570,10400,31900,19500
1964,17800,7080,7330,11000,32900,20300
1965,18500,7410,7650,11500,33600,21400
1966,18900,7820,7940,12200,34100,22500
1967,18900,8040,8200,12900,34700,22800
1968,19800,8470,8600,13700,35500,23700
1969,20900,8330,8640,14000,37000,24200
1970,21700,8710,9220,15100,38900,23900
1971,22100,9270,9370,15600,40000,24400
1972,22900,9870,9320,16000,40800,25400
1973,23900,10500,10000,17200,41800,26600
1974,24100,11100,10000,17700,42200,26200
1975,24000,11500,10100,18300,39400,25900
1976,25200,11700,10100,18800,39200,27000
1977,26000,11800,10100,19200,40200,27900
1978,26700,12100,10100,19500,40200,29200
1979,27800,11800,10100,19500,41100,29900
1980,28000,11400,10100,20100,42700,29500
1981,28000,10700,10300,20200,43000,30000
1982,27800,10500,10500,20300,42100,29100
1983,28300,11000,10800,20500,42000,30100
1984,29200,11300,10900,20500,43000,32000
1985,29900,11300,10700,20700,44200,32900
1986,30500,11600,10700,21000,44600,33700
1987,30900,11400,10800,20900,44600,34600
1988,31800,11600,10800,21100,45500,35700
1989,32600,11400,11100,21200,47000,36600
1990,31300,10300,10500,20600,48200,36800
1991,32600,9520,9560,19600,47100,36300
1992,33000,9730,8610,16700,46600,37000
1993,32500,10100,7380,15300,46100,37600
1994,33200,10600,5720,13400,46300,38600
1995,33700,11300,5060,12800,46300,39200
1996,33800,12000,4590,12400,46300,40200
1997,34400,12700,4500,12600,47300,41500
1998,35100,13300,4450,11900,48500,42800
1999,35800,13900,4480,12700,49100,44300
2000,36800,14700,4800,14100,50800,45700
2001,37300,14900,5290,14800,51100,45700
2002,37300,15200,5620,15600,50800,46000
2003,37000,15800,6210,16800,50500,46900
2004,37400,16600,7020,18100,51500,48300
2005,37700,17200,7280,19300,52800,49500
2006,39100,18300,7870,21000,54500,50400
2007,40500,19600,8520,22800,56300,50900
2008,41000,20400,8770,24000,56800,50400
2009,38800,21000,7510,22100,54800,48600
2010,40400,21800,7820,23300,55900,49500
2011,42700,22900,8280,24300,56200,49900
2012,42800,23200,8320,25200,56200,50600
2013,42900,23600,8340,25600,56500,51200
2014,43700,24400,8240,25300,57200,52100
2015,44000,25300,7460,24500,57300,53200
2016,44700,26100,7680,24400,57600,53600
2017,45500,27300,7910,24800,58000,54500
2018,46000,28800,8200,25400,59000,55700
2019,46200,29900,8480,25700,59000,56700
2020,46700,30900,8770,26200,59100,57500
