year,germany,poland,ukraine,russia,switzerland,united_states
1900,43.9,40.5,36.4,30.8,47.5,49.0
1901,44.3,40.8,36.8,29.1,49.0,49.3
1902,44.6,41.1,37.2,29.8,50.5,50.5
1903,44.9,41.4,37.5,31.8,50.1,50.6
1904,45.2,41.7,37.9,32.2,49.2,49.6
1905,45.5,42.0,38.3,30.5,49.7,50.3
1906,46.1,42.3,38.7,32.0,50.8,50.1
1907,46.7,42.6,39.1,33.6,51.3,50.2
1908,47.3,42.9,39.5,33.6,52.3,51.9
1909,47.9,43.2,39.9,32.4,51.7,52.8
1910,48.5,43.5,40.3,31.4,53.0,51.8
1911,49.0,43.8,40.6,35.1,51.8,53.4
1912,49.6,44.1,41.0,35.5,54.5,54.1
1913,50.2,44.4,41.4,33.3,54.3,53.5
1914,46.2,44.7,40.2,33.0,55.2,54.6
1915,40.6,45.0,34.7,31.5,56.0,55.1
1916,39.0,45.3,34.7,31.5,56.7,54.2
1917,40.1,45.6,32.7,29.0,55.9,54.0
1918,33.0,38.7,28.7,23.0,46.4,47.2
1919,48.4,46.2,30.7,25.0,55.0,55.3
1920,53.6,46.5,27.8,20.5,54.5,55.4
1921,55.1,46.8,31.0,23.8,58.0,58.3
1922,55.7,47.1,31.9,24.7,58.6,58.1
1923,56.3,47.5,40.7,33.6,60.1,57.5
1924,56.9,47.8,43.2,36.1,59.6,58.5
1925,57.5,48.1,42.3,35.2,60.0,58.5
1926,57.9,48.4,45.4,38.4,60.7,58.0
1927,58.3,48.7,44.5,37.5,60.2,59.5
1928,58.7,49.0,46.1,38.9,60.6,58.4
1929,59.1,49.3,44.2,37.4,60.3,58.5
1930,59.5,49.6,44.2,36.5,61.5,59.7
1931,59.9,49.9,45.1,35.0,61.4,60.4
1932,60.4,50.4,36.5,32.8,61.3,61.1
1933,60.8,50.9,8.94,17.4,62.5,61.0
1934,61.2,51.4,39.3,38.2,63.0,60.4
1935,61.6,51.8,49.0,39.6,62.3,61.0
1936,61.9,52.3,49.6,41.1,63.3,60.5
1937,62.2,52.8,48.4,39.9,63.6,61.2
1938,62.5,53.3,49.6,41.4,64.0,62.5
1939,61.1,45.1,49.4,43.6,64.1,63.2
1940,60.8,44.8,49.2,41.2,63.7,63.4
1941,59.1,41.2,24.6,23.0,65.1,63.9
1942,55.1,33.5,19.3,18.0,65.8,64.7
